Year,Month,day,Hour,Demand,Price
2013.0,1.0,2.0,19.0,14339.23,56.788200000000003
2013.0,1.0,2.0,20.0,14121.469999999999,50.011229999999998
2013.0,1.0,2.0,21.0,13768.15,47.280889999999999
2013.0,1.0,2.0,22.0,13121.67,43.261569999999999
2013.0,1.0,2.0,23.0,12184.98,42.481850000000001
2013.0,1.0,2.0,24.0,11167.41,36.521050000000002
2013.0,1.0,3.0,1.0,10492.91,31.935459999999999
2013.0,1.0,3.0,2.0,10173.92,31.471150000000002
2013.0,1.0,3.0,3.0,9985.0599999999995,30.851330000000001
2013.0,1.0,3.0,4.0,9999.4899999999998,30.733270000000001
2013.0,1.0,3.0,5.0,10302.790000000001,31.53942
2013.0,1.0,3.0,6.0,11072.84,35.845080000000003
2013.0,1.0,3.0,7.0,12376.82,38.164380000000001
2013.0,1.0,3.0,8.0,13289.73,41.028019999999998
2013.0,1.0,3.0,9.0,13195.67,40.260420000000003
2013.0,1.0,3.0,10.0,13051.610000000001,40.204329999999999
2013.0,1.0,3.0,11.0,12823.5,37.728140000000003
2013.0,1.0,3.0,12.0,12581.17,35.298310000000001
2013.0,1.0,3.0,13.0,12338.76,34.609059999999999
2013.0,1.0,3.0,14.0,12240.309999999999,33.899799999999999
2013.0,1.0,3.0,15.0,12105.139999999999,34.18439
2013.0,1.0,3.0,16.0,12129.559999999999,32.856780000000001
2013.0,1.0,3.0,17.0,12514.74,36.310499999999998
2013.0,1.0,3.0,18.0,13897.02,47.705719999999999
2013.0,1.0,3.0,19.0,14331.379999999999,51.124679999999998
2013.0,1.0,3.0,20.0,14142.620000000001,45.126640000000002
2013.0,1.0,3.0,21.0,13808.85,44.959150000000001
2013.0,1.0,3.0,22.0,13130.620000000001,41.611800000000002
2013.0,1.0,3.0,23.0,12167.9,40.87162
2013.0,1.0,3.0,24.0,11121.23,35.973010000000002
2013.0,1.0,4.0,1.0,10163.889999999999,31.497800000000002
2013.0,1.0,4.0,2.0,9832.4899999999998,31.329190000000001
